model,dataset,budget,variant,samples,score_mean,score_ci95_low,score_ci95_high,difference_vs_full,difference_ci95_low,difference_ci95_high,p_value,p_holm,latency_mean_s,routing_mean_s,visual_tokens_mean
llava15-7b,pope,64,full,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.24382488199998079,0.030173573000033684,64.0
llava15-7b,pope,64,no_diversity_expert,200,0.81,0.755,0.865,0.015,-0.03,0.06,0.6518348165183482,1.0,0.2424695389999988,0.030747790500004157,64.0
llava15-7b,pope,64,no_intent_routing,200,0.805,0.75,0.86,0.01,-0.035,0.055,0.8276172382761724,1.0,0.2403763489999983,0.03212165850001383,64.0
llava15-7b,pope,64,no_modality_calibration,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.24152374600000256,0.031149003500004255,64.0
llava15-7b,pope,64,no_projected_geometry,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.24284664650002924,0.02948046650004926,64.0
llava15-7b,pope,64,no_residual_space,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.23686899150010504,0.02628356999996413,64.0
llava15-7b,pope,64,no_semantics,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.2351134280000406,0.026573908000082157,64.0
llava15-7b,pope,64,no_vision_space,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.23818095149996224,0.02761528149996593,64.0
llava15-7b,pope,128,full,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.26120973249996043,0.026620000000020808,128.0
llava15-7b,pope,128,no_diversity_expert,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.2520445684998867,0.027052931500011253,128.0
llava15-7b,pope,128,no_intent_routing,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.24356964899997366,0.026988326999999118,128.0
llava15-7b,pope,128,no_modality_calibration,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.25103715750001354,0.02707968550001169,128.0
llava15-7b,pope,128,no_projected_geometry,200,0.82,0.765,0.87,-0.01,-0.045,0.025,0.7681231876812319,1.0,0.2465519659999518,0.027254086000011737,128.0
llava15-7b,pope,128,no_residual_space,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.25272711799991154,0.026724484499973188,128.0
llava15-7b,pope,128,no_semantics,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.25773168549998443,0.026662252999940392,128.0
llava15-7b,pope,128,no_vision_space,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.24992601600001763,0.027447244500017405,128.0
llava15-7b,textvqa,64,full,200,0.467,0.401,0.536,0.0,0.0,0.0,1.0,1.0,0.33429475499997807,0.029944992000027922,64.0
llava15-7b,textvqa,64,no_diversity_expert,200,0.467,0.401,0.536,0.0,0.0,0.0,1.0,1.0,0.34142319050007247,0.03167800800003533,64.0
llava15-7b,textvqa,64,no_intent_routing,200,0.4925,0.4255,0.56,0.0255,0.006,0.048999999999999995,0.0282971702829717,0.1980801919808019,0.3537859404999836,0.03372707900007299,64.0
llava15-7b,textvqa,64,no_modality_calibration,200,0.4575,0.3915,0.5255,-0.0095,-0.024,0.0,0.49845015498450157,1.0,0.3513013384999977,0.03228144800004884,64.0
llava15-7b,textvqa,64,no_projected_geometry,200,0.4485,0.3825,0.5165,-0.0185,-0.043,0.002500000000000002,0.0932906709329067,0.4664533546645335,0.3495088464999662,0.03288967599994976,64.0
llava15-7b,textvqa,64,no_residual_space,200,0.467,0.401,0.536,0.0,0.0,0.0,1.0,1.0,0.34334435349996967,0.031204158000045935,64.0
llava15-7b,textvqa,64,no_semantics,200,0.4575,0.3915,0.5255,-0.0095,-0.024,0.0,0.49845015498450157,1.0,0.34738945400001287,0.02993310099996961,64.0
llava15-7b,textvqa,64,no_vision_space,200,0.4925,0.4255,0.56,0.0255,0.006,0.048999999999999995,0.0282971702829717,0.1980801919808019,0.35113136300004044,0.03223460500001238,64.0
llava15-7b,textvqa,128,full,200,0.494,0.427,0.562,0.0,0.0,0.0,1.0,1.0,0.35975770249996913,0.026529561000015748,128.0
llava15-7b,textvqa,128,no_diversity_expert,200,0.494,0.427,0.562,0.0,0.0,0.0,1.0,1.0,0.36158626200009164,0.027720976500040705,128.0
