model,dataset,budget,reference,comparison,comparison_budget,samples,score_difference,ci95_low,ci95_high,win_rate,tie_rate,p_value,p_holm
llava15-7b,gqa,64,stride,dense,576,200,-0.115,-0.17,-0.065,0.02,0.845,9.999000099990002e-05,0.0005999400059994001
llava15-7b,gqa,64,stride,divprune,64,200,0.0,-0.035,0.035,0.035,0.93,1.0,1.0
llava15-7b,gqa,64,stride,otprune,64,200,-0.04,-0.09,0.005,0.04,0.88,0.1511848815118488,0.7559244075592441
llava15-7b,gqa,64,stride,random,64,200,-0.031666666666666655,-0.075,0.013333333333333341,0.135,0.72,0.18548145185481452,0.7559244075592441
llava15-7b,gqa,64,stride,visionzip,64,200,0.005,-0.055,0.065,0.1,0.805,1.0,1.0
llava15-7b,gqa,64,stride,vispruner,64,200,-0.015,-0.065,0.03,0.05,0.885,0.6731326867313269,1.0
llava15-7b,gqa,128,stride,dense,576,200,-0.055,-0.11,-0.005,0.045,0.855,0.060193980601939805,0.3611638836116388
llava15-7b,gqa,128,stride,divprune,128,200,0.015,-0.035,0.065,0.07,0.875,0.6858314168583142,1.0
llava15-7b,gqa,128,stride,otprune,128,200,0.035,-0.015,0.085,0.08,0.875,0.23297670232976703,0.9319068093190681
llava15-7b,gqa,128,stride,random,128,200,0.02333333333333334,-0.019999999999999993,0.06833333333333334,0.135,0.77,0.33436656334366566,1.0
llava15-7b,gqa,128,stride,visionzip,128,200,0.05,0.005,0.1,0.085,0.88,0.06079392060793921,0.3611638836116388
llava15-7b,gqa,128,stride,vispruner,128,200,0.01,-0.03,0.05,0.045,0.92,0.8022197780221978,1.0
llava15-7b,pope,64,stride,dense,576,200,-0.01,-0.05,0.03,0.04,0.91,0.8129187081291871,1.0
llava15-7b,pope,64,stride,divprune,64,200,0.0,0.0,0.0,0.0,1.0,1.0,1.0
llava15-7b,pope,64,stride,otprune,64,200,-0.02,-0.06,0.02,0.035,0.91,0.48565143485651435,1.0
llava15-7b,pope,64,stride,random,64,200,0.01833333333333334,-0.018333333333333326,0.05500000000000001,0.13,0.79,0.37676232376762325,1.0
llava15-7b,pope,64,stride,visionzip,64,200,-0.005,-0.06,0.05,0.075,0.845,1.0,1.0
llava15-7b,pope,64,stride,vispruner,64,200,0.02,-0.025,0.07,0.07,0.88,0.5449455054494551,1.0
llava15-7b,pope,128,stride,dense,576,200,0.025,-0.02,0.075,0.07,0.885,0.40575942405759424,1.0
llava15-7b,pope,128,stride,divprune,128,200,0.03,-0.015,0.075,0.065,0.9,0.2646735326467353,1.0
llava15-7b,pope,128,stride,otprune,128,200,-0.005,-0.045,0.035,0.04,0.915,1.0,1.0
llava15-7b,pope,128,stride,random,128,200,0.013333333333333341,-0.024999999999999994,0.05166666666666667,0.13,0.79,0.559044095590441,1.0
llava15-7b,pope,128,stride,visionzip,128,200,0.025,-0.01,0.065,0.05,0.925,0.3057694230576942,1.0
llava15-7b,pope,128,stride,vispruner,128,200,0.01,-0.025,0.045,0.035,0.94,0.7681231876812319,1.0
llava15-7b,scienceqa,64,stride,dense,576,200,0.01,-0.035,0.055,0.06,0.89,0.8271172882711729,1.0
llava15-7b,scienceqa,64,stride,divprune,64,200,-0.01,-0.045,0.025,0.025,0.94,0.7693230676932307,1.0
llava15-7b,scienceqa,64,stride,otprune,64,200,-0.005,-0.04,0.03,0.03,0.935,1.0,1.0
llava15-7b,scienceqa,64,stride,random,64,200,0.01833333333333334,-0.019999999999999997,0.060000000000000005,0.1,0.82,0.41525847415258477,1.0
llava15-7b,scienceqa,64,stride,visionzip,64,200,0.02,-0.015,0.06,0.045,0.93,0.42595740425957407,1.0
llava15-7b,scienceqa,64,stride,vispruner,64,200,0.01,-0.01,0.03,0.015,0.98,0.6259374062593741,1.0
llava15-7b,scienceqa,128,stride,dense,576,200,0.015,-0.025,0.055,0.05,0.915,0.6298370162983702,1.0
llava15-7b,scienceqa,128,stride,divprune,128,200,0.03,0.0,0.06,0.04,0.95,0.11028897110288971,0.44115588441155884
llava15-7b,scienceqa,128,stride,otprune,128,200,0.02,-0.015,0.055,0.04,0.94,0.38616138386161386,1.0
llava15-7b,scienceqa,128,stride,random,128,200,0.04166666666666667,0.0016666666666666707,0.08333333333333334,0.12,0.815,0.051894810518948106,0.25947405259474055
llava15-7b,scienceqa,128,stride,visionzip,128,200,0.04,0.01,0.075,0.05,0.94,0.0364963503649635,0.218978102189781
llava15-7b,scienceqa,128,stride,vispruner,128,200,0.01,0.0,0.025,0.01,0.99,0.48795120487951205,1.0
llava15-7b,textvqa,64,stride,dense,576,200,-0.0535,-0.096,-0.011999999999999999,0.035,0.875,0.017598240175982403,0.07039296070392961
llava15-7b,textvqa,64,stride,divprune,64,200,0.039,-0.007499999999999997,0.085,0.09,0.86,0.10688931106889311,0.32066793320667936
llava15-7b,textvqa,64,stride,otprune,64,200,0.0735,0.0215,0.126,0.135,0.81,0.008099190080991902,0.040495950404959506
llava15-7b,textvqa,64,stride,random,64,200,0.19566666666666668,0.14250000000000002,0.24850000000000003,0.34,0.585,9.999000099990002e-05,0.0005999400059994001
llava15-7b,textvqa,64,stride,visionzip,64,200,0.025,-0.0195,0.07100000000000001,0.09,0.86,0.2970702929707029,0.32066793320667936
llava15-7b,textvqa,64,stride,vispruner,64,200,0.0155,-0.004,0.04,0.02,0.975,0.1232876712328767,0.32066793320667936
llava15-7b,textvqa,128,stride,dense,576,200,-0.0265,-0.061,0.006500000000000001,0.025,0.91,0.14728527147285272,0.7364263573642637
llava15-7b,textvqa,128,stride,divprune,128,200,0.0175,-0.024999999999999998,0.0605,0.08,0.87,0.44755524447555245,1.0
llava15-7b,textvqa,128,stride,otprune,128,200,0.018000000000000002,-0.024999999999999998,0.062,0.07,0.875,0.44755524447555245,1.0
llava15-7b,textvqa,128,stride,random,128,200,0.13566666666666669,0.08516666666666668,0.1865,0.29,0.62,9.999000099990002e-05,0.0005999400059994001
llava15-7b,textvqa,128,stride,visionzip,128,200,0.0205,-0.024499999999999997,0.0675,0.08,0.865,0.4072592740725927,1.0
llava15-7b,textvqa,128,stride,vispruner,128,200,0.002,-0.016,0.02,0.01,0.98,1.0,1.0
