model,dataset,method,budget,samples,seeds,score_mean,score_std,score_ci95_low,score_ci95_high,prefill_mean_s,preprocessing_mean_s,vision_mean_s,routing_mean_s,packing_mean_s,generation_mean_s,latency_mean_s,visual_tokens_mean
llava15-7b,gqa,dense,576,200,1,0.755,0.43116646740332826,0.695,0.815,0.06403674999999566,0.019154052999979285,0.043710417499992216,0.0005494470000485307,0.0006228324999756296,0.28555828299999575,0.3501236069999959,576.0
llava15-7b,gqa,divprune,64,200,1,0.64,0.4812045188324021,0.57,0.705,0.08159692350008754,0.01257100900003934,0.04432760599996982,0.024071951500045544,0.00062635700003284,0.17258775400000104,0.25469630350000444,64.0
llava15-7b,gqa,divprune,128,200,1,0.685,0.4656815397698432,0.62,0.75,0.10955585600002905,0.012651535500003775,0.04291325750001306,0.05332614200001899,0.0006649209999932281,0.1972847955000043,0.30735700650003767,128.0
llava15-7b,gqa,otprune,64,200,1,0.68,0.46764673348231933,0.615,0.745,0.10154119300005277,0.012460770500033504,0.04405307899996387,0.04444478600002185,0.0005825575000335448,0.17272800700001426,0.2747807570000077,64.0
llava15-7b,gqa,otprune,128,200,1,0.665,0.47317488559919263,0.595,0.73,0.14307930699997995,0.012500166499985426,0.04375129349998133,0.08623843750001925,0.0005894094999939625,0.18592268499995954,0.3295226459999867,128.0
llava15-7b,gqa,random,64,200,3,0.6716666666666666,0.41263882322998596,0.6133333333333333,0.7283333333333333,0.057921695999962136,0.01240088666663875,0.04404189549999804,0.0008907013333388628,0.0005882124999864876,0.1712645169999981,0.2297019719999965,64.0
llava15-7b,gqa,random,128,200,3,0.6766666666666666,0.4252105597236533,0.6166666666666667,0.735,0.05865741366669075,0.012512491666669423,0.04464108650002648,0.0009076190000071923,0.0005962164999876525,0.1896746889999834,0.24885709250000823,128.0
llava15-7b,gqa,stride,64,200,1,0.64,0.4812045188324021,0.57,0.705,0.08826541199994609,0.012444610999946235,0.04395124399997258,0.03129325849999532,0.0005762985000319532,0.16811133650005558,0.25689388099998267,64.0
llava15-7b,gqa,stride,128,200,1,0.7,0.4594075275633928,0.635,0.765,0.0851960484999472,0.012315513500007001,0.04439618849999533,0.027861118999981047,0.0006232274999638321,0.18258136050003032,0.2683049310000524,128.0
llava15-7b,gqa,visionzip,64,200,1,0.635,0.482638268781561,0.565,0.7,0.08594456399996034,0.012422290499989686,0.044295210499994936,0.02869290099999489,0.0005341619999808245,0.16950394249996406,0.2559598890000279,64.0
llava15-7b,gqa,visionzip,128,200,1,0.65,0.4781665150137575,0.585,0.715,0.11218235500001356,0.01246959349996814,0.044216375000059996,0.05488090049998391,0.0006154860000015106,0.18921416850001604,0.3019139310000037,128.0
llava15-7b,gqa,vispruner,64,200,1,0.655,0.4765611742093759,0.59,0.72,0.08435013349992915,0.012430068999947252,0.045253575499982615,0.02613943950000703,0.0005270494999922448,0.16960608049997516,0.254458902999977,64.0
llava15-7b,gqa,vispruner,128,200,1,0.69,0.46365383032156576,0.625,0.755,0.08147843600004308,0.012657054500032246,0.045228532000060113,0.022991365499988207,0.000601483999962511,0.18930481200003213,0.27131102900003046,128.0
llava15-7b,pope,dense,576,200,1,0.805,0.3971949384061652,0.75,0.86,0.04906669049996481,0.019304758499977197,0.02624452099999644,0.0008731444999921223,0.0026442664999990484,0.2476471825000067,0.2971644189999915,576.0
llava15-7b,pope,divprune,64,200,1,0.795,0.4047146770865201,0.735,0.85,0.08613848400000962,0.013244827000016812,0.04529691400000274,0.02695080899999539,0.0006459339999946678,0.1581543364999925,0.24481664200000297,64.0
llava15-7b,pope,divprune,128,200,1,0.8,0.4010037656936684,0.745,0.855,0.10609903449999593,0.01301568999998608,0.04395838500000309,0.04848489849999624,0.0006400610000105189,0.17061806999997542,0.27723050500001134,128.0
llava15-7b,pope,otprune,64,200,1,0.815,0.3892719657470634,0.76,0.87,0.10446183950004069,0.012852001499977632,0.04302648250001312,0.04795471000000361,0.000628645500046332,0.15177163300001667,0.2567361469999787,64.0
llava15-7b,pope,otprune,128,200,1,0.835,0.3721119948126062,0.785,0.885,0.1518539514999884,0.013171532000019397,0.044082395499958696,0.09396407050002381,0.0006359534999864991,0.17044309950000297,0.32282149350000966,128.0
llava15-7b,pope,random,64,200,3,0.7766666666666666,0.367753832164978,0.725,0.825,0.05745061399999713,0.013009709333324888,0.04237192366667159,0.0011270778333300768,0.0009419031666705754,0.15356405799999417,0.2115257891666594,64.0
llava15-7b,pope,random,128,200,3,0.8166666666666667,0.3337518310917843,0.77,0.8616666666666667,0.05851814466667596,0.013058571833336525,0.043907127166667885,0.0009336568333295266,0.0006187888333420233,0.17175820499999797,0.2307878891666716,128.0
llava15-7b,pope,stride,64,200,1,0.795,0.4047146770865201,0.735,0.85,0.08883159800001067,0.013160748000013883,0.044863415499962686,0.030173573000033684,0.000633861500000421,0.15447934550001263,0.24382488199998079,64.0
llava15-7b,pope,stride,128,200,1,0.83,0.3765754177135447,0.775,0.88,0.08539274150000438,0.013031464999985474,0.04509808650003379,0.026620000000020808,0.0006431899999643065,0.17529241200002615,0.26120973249996043,128.0
llava15-7b,pope,visionzip,64,200,1,0.8,0.4010037656936684,0.745,0.855,0.08774530100002721,0.013264359499994499,0.04438370500003657,0.029517498500008513,0.0005797379999876284,0.15102244650002375,0.23928625450000254,64.0
llava15-7b,pope,visionzip,128,200,1,0.805,0.3971949384061652,0.75,0.855,0.1108837494999716,0.01302678850002394,0.04390350649998254,0.05339048099998763,0.0005629734999774883,0.1657654860000048,0.2771532689999958,128.0
llava15-7b,pope,vispruner,64,200,1,0.775,0.4186302142480963,0.715,0.83,0.0816020894999565,0.012659131499990508,0.04364344699996764,0.024659872999991422,0.0006396380000069258,0.15179474900004153,0.23391293149999,64.0
llava15-7b,pope,vispruner,128,200,1,0.82,0.3851515397122457,0.765,0.87,0.08140174699995896,0.01291413449999709,0.04512408049996339,0.022718326999970485,0.0006452050000279997,0.16840922399993816,0.25032255649998203,128.0
llava15-7b,scienceqa,dense,576,200,1,0.59,0.49306751859096054,0.52,0.655,0.061558346499923575,0.01884113399996295,0.041523512999956436,0.0005816785000070013,0.0006120209999971849,0.2693104854999774,0.3314009349999833,576.0
llava15-7b,scienceqa,divprune,64,200,1,0.61,0.4889739025622274,0.54,0.675,0.04518783899996834,0.007681102499991539,0.021497105500016003,0.015594342500003222,0.000415288499957569,0.11926501900004496,0.16478721950000363,64.0
llava15-7b,scienceqa,divprune,128,200,1,0.575,0.4955835096887071,0.505,0.64,0.05877868249999665,0.007624174999973548,0.021262982499997633,0.029494177000010495,0.0003973480000149721,0.13023995899996407,0.18935665299993615,128.0
llava15-7b,scienceqa,otprune,64,200,1,0.605,0.4900774218396364,0.535,0.67,0.06115118700007315,0.008022108500008472,0.02223858750000545,0.030431927500030723,0.0004585635000285038,0.11987983500000154,0.18137466900002436,64.0
llava15-7b,scienceqa,otprune,128,200,1,0.585,0.49395847484821215,0.515,0.65,0.1111804724999547,0.008884600499986845,0.024704947999957767,0.07695560650002335,0.0006353174999867406,0.13694089100001747,0.24851351099999647,128.0
llava15-7b,scienceqa,random,64,200,3,0.5816666666666667,0.4630362495502304,0.5183333333333333,0.645,0.055431412666688024,0.011251617500012495,0.042615420000004935,0.000926395500006644,0.0006379796666639474,0.15939520066665713,0.21533011333333435,64.0
llava15-7b,scienceqa,random,128,200,3,0.5633333333333334,0.4683029461341244,0.49833333333333335,0.6266666666666667,0.035768327166676196,0.008462479833345546,0.025970379999979136,0.0007636216666757415,0.000571845666675775,0.13775339800002712,0.17390721083331906,128.0
llava15-7b,scienceqa,stride,64,200,1,0.6,0.4911273054420348,0.53,0.665,0.09243824149993543,0.012188533999988068,0.045039445999987035,0.03455980349999208,0.0006504579999682392,0.1623310505000336,0.2552783249999493,64.0
llava15-7b,scienceqa,stride,128,200,1,0.605,0.4900774218396364,0.535,0.67,0.08839956949996576,0.012136852999956317,0.044924165500042364,0.030695587499994872,0.0006429634999722112,0.16675369800002499,0.2556629889999249,128.0
llava15-7b,scienceqa,visionzip,64,200,1,0.58,0.49479704991341156,0.51,0.645,0.08851431749998483,0.012145681500001046,0.04594574799999009,0.029837598999974943,0.0005852890000187472,0.15758984800000234,0.2466186905000177,64.0
llava15-7b,scienceqa,visionzip,128,200,1,0.565,0.49700105658967797,0.495,0.635,0.11165965149998101,0.012089009499964049,0.045016433999981016,0.053938220500022,0.0006159875000139437,0.16673125950001122,0.27891259099999843,128.0
llava15-7b,scienceqa,vispruner,64,200,1,0.59,0.49306751859096054,0.52,0.655,0.08469141900002342,0.011979301999986092,0.045780179499988666,0.02635257500001444,0.0005793625000342218,0.15676956500000416,0.24197001400001683,64.0
llava15-7b,scienceqa,vispruner,128,200,1,0.595,0.4921238966441695,0.53,0.66,0.0811334724999233,0.0120207930000106,0.04543582249997144,0.022992105999978776,0.000684750999962489,0.1762719880000259,0.2579279779999888,128.0
